"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 13 01:14:33 GMT 2025","Mon Oct 13 01:14:34 GMT 2025","707","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Mon Oct 13 01:14:34 GMT 2025","Mon Oct 13 01:14:34 GMT 2025","491","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Mon Oct 13 01:14:15 GMT 2025","Mon Oct 13 01:14:34 GMT 2025","19258","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Mon Oct 13 01:14:15 GMT 2025","Mon Oct 13 01:14:33 GMT 2025","17879","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
