"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 01:14:25 GMT 2025","Sun Apr 06 01:14:26 GMT 2025","423","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sun Apr 06 01:14:05 GMT 2025","Sun Apr 06 01:14:25 GMT 2025","19176","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sun Apr 06 01:14:05 GMT 2025","Sun Apr 06 01:14:26 GMT 2025","20449","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Sun Apr 06 01:14:25 GMT 2025","Sun Apr 06 01:14:25 GMT 2025","670","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
