"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 22 01:14:33 GMT 2025","Mon Sep 22 01:14:43 GMT 2025","10691","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Mon Sep 22 01:14:33 GMT 2025","Mon Sep 22 01:14:44 GMT 2025","11752","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Mon Sep 22 01:14:43 GMT 2025","Mon Sep 22 01:14:44 GMT 2025","555","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Mon Sep 22 01:14:44 GMT 2025","Mon Sep 22 01:14:44 GMT 2025","364","","Calculator Tests","","Verify SUM","","Verify SUM",""
