"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 01:11:11 GMT 2025","Mon Sep 29 01:11:23 GMT 2025","12196","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Mon Sep 29 01:11:22 GMT 2025","Mon Sep 29 01:11:23 GMT 2025","689","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Mon Sep 29 01:11:11 GMT 2025","Mon Sep 29 01:11:22 GMT 2025","10911","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Mon Sep 29 01:11:23 GMT 2025","Mon Sep 29 01:11:23 GMT 2025","381","","Calculator Tests","","Verify SUM","","Verify SUM",""
