"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 10 01:08:36 GMT 2025","Wed Sep 10 01:08:36 GMT 2025","726","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Wed Sep 10 01:08:10 GMT 2025","Wed Sep 10 01:08:36 GMT 2025","25926","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Wed Sep 10 01:08:10 GMT 2025","Wed Sep 10 01:08:37 GMT 2025","27675","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Wed Sep 10 01:08:36 GMT 2025","Wed Sep 10 01:08:37 GMT 2025","398","","Calculator Tests","","Verify SUM","","Verify SUM",""
