"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 09 01:13:49 GMT 2025","Fri May 09 01:13:50 GMT 2025","882","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Fri May 09 01:13:50 GMT 2025","Fri May 09 01:13:50 GMT 2025","338","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Fri May 09 01:13:37 GMT 2025","Fri May 09 01:13:50 GMT 2025","13248","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Fri May 09 01:13:37 GMT 2025","Fri May 09 01:13:49 GMT 2025","12208","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
