"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 19 01:01:25 GMT 2025","Sat Apr 19 01:01:25 GMT 2025","712","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Sat Apr 19 01:01:12 GMT 2025","Sat Apr 19 01:01:25 GMT 2025","12249","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sat Apr 19 01:01:25 GMT 2025","Sat Apr 19 01:01:26 GMT 2025","374","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sat Apr 19 01:01:12 GMT 2025","Sat Apr 19 01:01:26 GMT 2025","13734","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
