"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 08 01:23:04 GMT 2025","Fri Aug 08 01:23:13 GMT 2025","8881","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Fri Aug 08 01:23:04 GMT 2025","Fri Aug 08 01:23:14 GMT 2025","10218","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Fri Aug 08 01:23:14 GMT 2025","Fri Aug 08 01:23:14 GMT 2025","407","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Fri Aug 08 01:23:13 GMT 2025","Fri Aug 08 01:23:14 GMT 2025","881","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
