"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 16 01:12:03 GMT 2025","Wed Apr 16 01:12:04 GMT 2025","372","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Wed Apr 16 01:12:03 GMT 2025","Wed Apr 16 01:12:03 GMT 2025","630","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Wed Apr 16 01:12:00 GMT 2025","Wed Apr 16 01:12:03 GMT 2025","2836","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Wed Apr 16 01:12:00 GMT 2025","Wed Apr 16 01:12:04 GMT 2025","4250","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
