"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 03 01:17:07 GMT 2025","Thu Jul 03 01:17:27 GMT 2025","20503","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Thu Jul 03 01:17:27 GMT 2025","Thu Jul 03 01:17:28 GMT 2025","864","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Thu Jul 03 01:17:07 GMT 2025","Thu Jul 03 01:17:29 GMT 2025","22046","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Thu Jul 03 01:17:28 GMT 2025","Thu Jul 03 01:17:28 GMT 2025","397","","Calculator Tests","","Verify SUM","","Verify SUM",""
