"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 21 01:14:45 GMT 2025","Mon Apr 21 01:14:48 GMT 2025","2771","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Mon Apr 21 01:14:48 GMT 2025","Mon Apr 21 01:14:49 GMT 2025","373","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Mon Apr 21 01:14:45 GMT 2025","Mon Apr 21 01:14:49 GMT 2025","4202","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Mon Apr 21 01:14:48 GMT 2025","Mon Apr 21 01:14:48 GMT 2025","540","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
