"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 08 01:08:31 GMT 2025","Wed Oct 08 01:08:44 GMT 2025","13261","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Wed Oct 08 01:08:43 GMT 2025","Wed Oct 08 01:08:44 GMT 2025","851","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Wed Oct 08 01:08:44 GMT 2025","Wed Oct 08 01:08:44 GMT 2025","333","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Wed Oct 08 01:08:31 GMT 2025","Wed Oct 08 01:08:43 GMT 2025","12148","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
