"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 29 01:15:24 GMT 2025","Thu May 29 01:15:25 GMT 2025","1019","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Thu May 29 01:15:25 GMT 2025","Thu May 29 01:15:25 GMT 2025","341","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Thu May 29 01:15:12 GMT 2025","Thu May 29 01:15:23 GMT 2025","11621","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Thu May 29 01:15:12 GMT 2025","Thu May 29 01:15:25 GMT 2025","13089","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
