"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 07 01:14:48 GMT 2025","Sat Jun 07 01:14:48 GMT 2025","392","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sat Jun 07 01:14:47 GMT 2025","Sat Jun 07 01:14:48 GMT 2025","557","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Sat Jun 07 01:14:38 GMT 2025","Sat Jun 07 01:14:47 GMT 2025","8587","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sat Jun 07 01:14:38 GMT 2025","Sat Jun 07 01:14:48 GMT 2025","9777","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
