"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 02 02:52:15 GMT 2025","Wed Apr 02 02:52:19 GMT 2025","3695","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Wed Apr 02 02:52:15 GMT 2025","Wed Apr 02 02:52:18 GMT 2025","2539","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Wed Apr 02 02:52:18 GMT 2025","Wed Apr 02 02:52:18 GMT 2025","517","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Wed Apr 02 02:52:18 GMT 2025","Wed Apr 02 02:52:19 GMT 2025","381","","Calculator Tests","","Verify SUM","","Verify SUM",""
