"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 28 01:26:22 GMT 2025","Mon Jul 28 01:26:26 GMT 2025","4314","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Mon Jul 28 01:26:26 GMT 2025","Mon Jul 28 01:26:26 GMT 2025","364","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Mon Jul 28 01:26:22 GMT 2025","Mon Jul 28 01:26:25 GMT 2025","3579","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Mon Jul 28 01:26:25 GMT 2025","Mon Jul 28 01:26:26 GMT 2025","626","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
