"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 11 01:10:32 GMT 2025","Fri Apr 11 01:10:41 GMT 2025","8363","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Fri Apr 11 01:10:41 GMT 2025","Fri Apr 11 01:10:41 GMT 2025","819","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Fri Apr 11 01:10:42 GMT 2025","Fri Apr 11 01:10:42 GMT 2025","373","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Fri Apr 11 01:10:32 GMT 2025","Fri Apr 11 01:10:42 GMT 2025","9839","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
