"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 01:10:24 GMT 2025","Fri Oct 17 01:10:33 GMT 2025","9511","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Fri Oct 17 01:10:33 GMT 2025","Fri Oct 17 01:10:34 GMT 2025","609","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Fri Oct 17 01:10:24 GMT 2025","Fri Oct 17 01:10:35 GMT 2025","10800","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Fri Oct 17 01:10:34 GMT 2025","Fri Oct 17 01:10:34 GMT 2025","425","","Calculator Tests","","Verify SUM","","Verify SUM",""
