"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 08 01:13:03 GMT 2025","Mon Sep 08 01:13:04 GMT 2025","769","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Mon Sep 08 01:12:52 GMT 2025","Mon Sep 08 01:13:04 GMT 2025","11982","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Mon Sep 08 01:13:04 GMT 2025","Mon Sep 08 01:13:04 GMT 2025","394","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Mon Sep 08 01:12:52 GMT 2025","Mon Sep 08 01:13:03 GMT 2025","10852","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
