"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 08 01:17:46 GMT 2025","Tue Jul 08 01:18:01 GMT 2025","14566","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Tue Jul 08 01:17:59 GMT 2025","Tue Jul 08 01:18:00 GMT 2025","770","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Tue Jul 08 01:18:00 GMT 2025","Tue Jul 08 01:18:01 GMT 2025","379","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Tue Jul 08 01:17:46 GMT 2025","Tue Jul 08 01:17:59 GMT 2025","13256","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
