"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 06 01:15:16 GMT 2025","Fri Jun 06 01:15:21 GMT 2025","5230","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Fri Jun 06 01:15:19 GMT 2025","Fri Jun 06 01:15:20 GMT 2025","648","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Fri Jun 06 01:15:20 GMT 2025","Fri Jun 06 01:15:20 GMT 2025","338","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Fri Jun 06 01:15:16 GMT 2025","Fri Jun 06 01:15:19 GMT 2025","3202","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
