"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 23 01:14:37 GMT 2025","Fri May 23 01:14:38 GMT 2025","642","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Fri May 23 01:14:20 GMT 2025","Fri May 23 01:14:38 GMT 2025","18007","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Fri May 23 01:14:20 GMT 2025","Fri May 23 01:14:37 GMT 2025","16737","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Fri May 23 01:14:38 GMT 2025","Fri May 23 01:14:38 GMT 2025","429","","Calculator Tests","","Verify SUM","","Verify SUM",""
