"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 02 01:11:53 GMT 2025","Tue Sep 02 01:11:54 GMT 2025","422","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Tue Sep 02 01:11:39 GMT 2025","Tue Sep 02 01:11:53 GMT 2025","13694","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Tue Sep 02 01:11:39 GMT 2025","Tue Sep 02 01:11:54 GMT 2025","15434","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Tue Sep 02 01:11:53 GMT 2025","Tue Sep 02 01:11:53 GMT 2025","686","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
