"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 09 01:09:34 GMT 2025","Thu Oct 09 01:09:44 GMT 2025","10337","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Thu Oct 09 01:09:45 GMT 2025","Thu Oct 09 01:09:45 GMT 2025","379","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Thu Oct 09 01:09:44 GMT 2025","Thu Oct 09 01:09:45 GMT 2025","882","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Thu Oct 09 01:09:34 GMT 2025","Thu Oct 09 01:09:46 GMT 2025","12152","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
