"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 01:11:13 GMT 2025","Wed Aug 27 01:11:14 GMT 2025","834","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Wed Aug 27 01:11:06 GMT 2025","Wed Aug 27 01:11:15 GMT 2025","8501","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Wed Aug 27 01:11:06 GMT 2025","Wed Aug 27 01:11:13 GMT 2025","6974","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Wed Aug 27 01:11:14 GMT 2025","Wed Aug 27 01:11:14 GMT 2025","366","","Calculator Tests","","Verify SUM","","Verify SUM",""
