"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 14 01:13:49 GMT 2025","Sat Jun 14 01:14:03 GMT 2025","14074","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Sat Jun 14 01:13:59 GMT 2025","Sat Jun 14 01:13:59 GMT 2025","390","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sat Jun 14 01:13:58 GMT 2025","Sat Jun 14 01:13:59 GMT 2025","672","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Sat Jun 14 01:13:49 GMT 2025","Sat Jun 14 01:13:58 GMT 2025","8753","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
