"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 12 01:07:01 GMT 2025","Fri Sep 12 01:07:02 GMT 2025","1219","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Fri Sep 12 01:06:50 GMT 2025","Fri Sep 12 01:07:02 GMT 2025","12308","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Fri Sep 12 01:06:50 GMT 2025","Fri Sep 12 01:07:01 GMT 2025","10811","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Fri Sep 12 01:07:02 GMT 2025","Fri Sep 12 01:07:03 GMT 2025","338","","Calculator Tests","","Verify SUM","","Verify SUM",""
