"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 17 01:23:00 GMT 2025","Sun Aug 17 01:23:00 GMT 2025","344","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sun Aug 17 01:22:56 GMT 2025","Sun Aug 17 01:22:59 GMT 2025","2684","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sun Aug 17 01:22:56 GMT 2025","Sun Aug 17 01:23:00 GMT 2025","3682","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Sun Aug 17 01:22:59 GMT 2025","Sun Aug 17 01:23:00 GMT 2025","873","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
