"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 18 01:07:26 GMT 2025","Sat Oct 18 01:07:26 GMT 2025","388","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sat Oct 18 01:07:13 GMT 2025","Sat Oct 18 01:07:25 GMT 2025","11339","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sat Oct 18 01:07:25 GMT 2025","Sat Oct 18 01:07:26 GMT 2025","910","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Sat Oct 18 01:07:13 GMT 2025","Sat Oct 18 01:07:26 GMT 2025","12760","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
