"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 18 01:19:12 GMT 2025","Sun May 18 01:19:12 GMT 2025","602","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Sun May 18 01:19:12 GMT 2025","Sun May 18 01:19:13 GMT 2025","407","","Calculator Tests","","Verify SUM","","Verify SUM",""
"passed","Sun May 18 01:19:04 GMT 2025","Sun May 18 01:19:12 GMT 2025","7884","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sun May 18 01:19:04 GMT 2025","Sun May 18 01:19:13 GMT 2025","9091","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
