"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 19 01:18:32 GMT 2025","Sat Jul 19 01:18:44 GMT 2025","12061","","Shopping Cart Testing","","Verify Shopping Cart","","Verify Shopping Cart",""
"passed","Sat Jul 19 01:18:41 GMT 2025","Sat Jul 19 01:18:42 GMT 2025","765","","Calculator Tests","","Verify MUlTIPLY","","Verify MUlTIPLY",""
"passed","Sat Jul 19 01:18:32 GMT 2025","Sat Jul 19 01:18:41 GMT 2025","8756","","Dynamic Table Testing","","Verify CPU usage of Browsers in the dynamic table","","Verify CPU usage of Browsers in the dynamic table",""
"passed","Sat Jul 19 01:18:42 GMT 2025","Sat Jul 19 01:18:42 GMT 2025","351","","Calculator Tests","","Verify SUM","","Verify SUM",""
